WEEK_NUM,,,PRTNUM,,,PRT_CLIENT_ID,SUM(ORDQTY)
12,,,440036,,,ZEBRA,22
12,,,BTRY-MC55EAB02,,,ZEBRA,1185
12,,,16H.025MS.0009,,,TX3,14062
12,,,BTRY-LS42RAA0E-01,,,ZEBRA,7873
8,,,BRKT-AP0081W-04,,,ZEBRA,2031
3,,,MW1269EAUNCA,,,TX3,21
8,,,BTRY-MPP-34MA1-01,,,ZEBRA,21806
8,,,47362,,,ZEBRA,6197
8,,,44000M,,,ZEBRA,7
8,,,173260,,,TX3,5
8,,,P1046696-031,,,ZEBRA,11
8,,,G105910-064,,,ZEBRA,5
8,,,KT-BKL-RS507-10R,,,ZEBRA,1473
8,,,KT-STRPT-RS507-10R,,,ZEBRA,2683
8,,,16M.025CB.0007,,,TX3,769
8,,,TC25AJ-10C102US,,,ZEBRA,201
3,,,50-16000-182R,,,ZEBRA,9548
3,,,PWR-BGA12V50W0WW,,,ZEBRA,49427
3,,,TC57HO-1PEZU4P-NA,,,ZEBRA,143907
8,,,DS4308-HC0000BZZWW,,,ZEBRA,1134
8,,,TC200J-10A111US,,,ZEBRA,173
3,,,P1037750-405,,,ZEBRA,1
3,,,G41011M,,,ZEBRA,1151
3,,,P1053360-018,,,ZEBRA,546
3,,,P1056612-003,,,ZEBRA,594
3,,,440037,,,ZEBRA,132
3,,,CBL-36-452A-01,,,ZEBRA,654
3,,,440036,,,ZEBRA,152
3,,,104988,,,ZEBRA,9
3,,,79815M,,,ZEBRA,895
3,,,P1053360-019,,,ZEBRA,72
3,,,BTRY-MPM-22MA1-01,,,ZEBRA,1616
3,,,KYBD-QW-VC70-S-1,,,ZEBRA,427
3,,,48766-001,,,ZEBRA,118
3,,,RTL10B1-F2AS0X0000NA,,,ZEBRA,1
3,,,BRKT-SCRD-SSDK-01,,,ZEBRA,1121
3,,,CBL-DC-395A1-01,,,ZEBRA,759
3,,,25-68596-01R,,,ZEBRA,485
3,,,BTRY-TC51-43MA1-01,,,ZEBRA,9855
3,,,DS9908-SR4U2100AZW,,,ZEBRA,1214
3,,,ZD62142-D01L011K,,,ZEBRA,5
8,,,41-162530-03,,,TX3,157
8,,,21-140725-01,,,TX3,1103
8,,,16M.039CA.0002,,,TX3,10
8,,,91-88565A1-01,,,TX3,14
8,,,160.0250T.0001,,,TX3,990
8,,,20-83024-04,,,TX3,506
8,,,1005198-001,,,TX3,88
8,,,8710-058100-07,,,TX3,27
8,,,1309-00QR000,,,TX3,62
8,,,8710-050331-30,,,TX3,349
3,,,DS4308-HC0000BZZWW,,,ZEBRA,2612
3,,,105936G-372,,,ZEBRA,1
3,,,STB3578-C0007WR,,,ZEBRA,86
3,,,45189-18,,,ZEBRA,42
3,,,MC92N0-GJ0SYEQA6WR,,,ZEBRA,157
3,,,P1080383-704,,,ZEBRA,17
3,,,ZP450-0202-0004A,,,ZEBRA,701
3,,,410040,,,ZEBRA,4
3,,,P1006068,,,ZEBRA,162
3,,,P1063406-045,,,ZEBRA,186
3,,,MC92N0-GL0SXERA5WR,,,ZEBRA,192
3,,,CRD4001-4000ER,,,ZEBRA,70
3,,,CBL-DC-382A1-01,,,ZEBRA,3345
3,,,ZD42H42-D01W01EZ,,,ZEBRA,619
3,,,ZT51042-T010000Z,,,ZEBRA,2029
3,,,P1058930-032,,,ZEBRA,29
3,,,TC56CJ-1PAZU2P-US,,,ZEBRA,59
3,,,P1094879-012,,,ZEBRA,1
3,,,P1007536-02,,,ZEBRA,58
3,,,P1058930-022,,,ZEBRA,130
3,,,105903-053,,,ZEBRA,10
8,,,79802M,,,ZEBRA,7
8,,,P1004233,,,ZEBRA,126
8,,,P1004234,,,ZEBRA,181
8,,,P1037974-011,,,ZEBRA,31
8,,,P1046696-016,,,ZEBRA,1139
8,,,8710-050301-04,,,TX3,30
8,,,131A-00RTK00,,,TX3,280
8,,,S02407,,,TX3,7
8,,,807720-002,,,ZEBRA,164
3,,,ZQ52-AUE0000-00,,,ZEBRA,1073
3,,,25-71920-01R,,,ZEBRA,14
3,,,PS1450,,,ZEBRA,717
3,,,16M.025MB.0015,,,TX3,900
3,,,282P-101210-000,,,ZEBRA,95
3,,,DS8178-DL0F007ZZWW,,,ZEBRA,3514
8,,,P1058930-081,,,ZEBRA,103
8,,,8710-053300-32,,,TX3,61
8,,,8710-057000-88,,,TX3,140
3,,,CRD9000-111SES,,,ZEBRA,49
8,,,50-12800-1492,,,TX3,50
3,,,GC420-200510-000,,,ZEBRA,3071
3,,,79823,,,ZEBRA,242
3,,,MPACT-MB5000-01-WR,,,ZEBRA,163
3,,,DS3678-HP3U4210SFW,,,ZEBRA,192
3,,,DS3678-HP2F003VZWW,,,ZEBRA,426
3,,,1006068-012,,,TX3,345
3,,,300010,,,ZEBRA,13
3,,,AN2030,,,ZEBRA,2520
3,,,410022,,,ZEBRA,1
3,,,BTRY-TC8X-70MA1-01,,,ZEBRA,4523
3,,,ET55BT-G15E-00A6,,,ZEBRA,16
3,,,DS8178-SR0F227ZZWW,,,ZEBRA,42
3,,,11-WM0077-04,,,ZEBRA,44
3,,,RV3010,,,ZEBRA,100
3,,,BRKT-MM0036W-00,,,ZEBRA,870
3,,,3PTY-PCLIP-945081,,,ZEBRA,1
3,,,DS3608-HP20003VZWW,,,ZEBRA,203
3,,,ZD41022-D01E00EZ,,,ZEBRA,4083
8,,,1414-04XJC00,,,TX3,5
8,,,450039,,,TX3,8
3,,,DS2208-SR6U2100SGW,,,ZEBRA,27
3,,,OE431120C0091122,,,ZEBRA,1
3,,,STB3678-C113F3WW,,,ZEBRA,305
8,,,8710-053300-29,,,TX3,43
8,,,8710-053300-02,,,TX3,92
3,,,DS2208-SR7U2100AZW,,,ZEBRA,1748
12,,,ZT22043-D01200FZ,,,ZEBRA,3
12,,,MC930B-GSEEG4NA,,,ZEBRA,1246
12,,,ZP450-0201-0000A,,,ZEBRA,192
3,,,25-71918-01R,,,ZEBRA,12
3,,,BTRY-TC8X-70MA1-10,,,ZEBRA,244
3,,,RFD8500-1000100-US,,,ZEBRA,282
3,,,GX43-102410-000,,,ZEBRA,4029
8,,,WA9019,,,ZEBRA,14
3,,,RAM-D-2461U-MOTO7B,,,ZEBRA,16
3,,,P1018257,,,ZEBRA,22
3,,,BTRY-NWTRS-33MA-02,,,ZEBRA,7732
3,,,KT-BTYMT-01R,,,ZEBRA,1430
3,,,DS3608-HPU46-10,,,ZEBRA,338
3,,,1100086-003,,,TX3,56
12,,,P1075364,,,ZEBRA,176
3,,,023.400CX.0001,,,TX3,35209
8,,,50.18H08.002,,,TX3,1000
3,,,1073132-002,,,TX3,46
3,,,8710-050383-56,,,TX3,3
3,,,1051084-200,,,TX3,39
3,,,16M.025CS.0001,,,TX3,3901
3,,,1005487-002,,,TX3,2170
3,,,8710-053210-31,,,TX3,21
8,,,42.16M09.0J1,,,TX3,1990
3,,,P1058930-052,,,ZEBRA,379
3,,,15-137101-02,,,TX3,16
3,,,8710-050332-36,,,TX3,1382
12,,,DS2278-SR00007ZZWW,,,ZEBRA,6124
3,,,200591,,,ZEBRA,50
3,,,8710-058000-40,,,TX3,200
3,,,MW0030AAUNCZ,,,TX3,474
8,,,GX42-202412-000,,,ZEBRA,23
3,,,1110086,,,TX3,174
8,,,CBL-TC7X-USB1-01,,,ZEBRA,794
8,,,22-71043-0BR,,,ZEBRA,1121
8,,,ST4002-WW,,,ZEBRA,33
8,,,1004670-009,,,ZEBRA,33
3,,,WA9300,,,ZEBRA,10
3,,,025.9011P.0001,,,TX3,20
3,,,21-156086-02,,,TX3,9497
8,,,BTRY-MC55EAB02-10,,,ZEBRA,183
8,,,CBA-U30-S15ZBR,,,ZEBRA,526
12,,,25-13227-03R,,,ZEBRA,100
8,,,AT17010-1,,,ZEBRA,281
8,,,P1031365-024,,,ZEBRA,7863
8,,,ZC32-000CQ00LA00,,,ZEBRA,71
3,,,21-121559-02,,,TX3,46
3,,,1099100-002,,,TX3,2448
12,,,ZD42043-C01W018N,,,ZEBRA,3511
3,,,134.0251N.0001,,,TX3,4500
8,,,P1037750-085,,,ZEBRA,52
8,,,300020-001,,,ZEBRA,953
8,,,807055-001,,,ZEBRA,15
12,,,8710-053200-37,,,TX3,85
12,,,CHG-AUTO-HWIRE1-01,,,ZEBRA,3233
3,,,KT-128374-01R,,,ZEBRA,283
8,,,MC92N0-GA0SXERA5WR,,,ZEBRA,163
8,,,1633-0088-0000,,,ZEBRA,290
8,,,ZC36-000C000US03,,,ZEBRA,21
8,,,GK42-102510-000,,,ZEBRA,1682
8,,,ET50PE-G15E-00US,,,ZEBRA,57
3,,,91-64576-01,,,TX3,666
3,,,8710-050388-00,,,TX3,615
8,,,23844-00-00R,,,ZEBRA,25539
3,,,ZT23042-T11200FZ,,,ZEBRA,147
3,,,DS4308-SR00007ZZWW,,,ZEBRA,4520
3,,,WA4L110A0100120W,,,ZEBRA,1
12,,,20-61019-02R,,,ZEBRA,553
3,,,MC330K-GI4HG4RW,,,ZEBRA,19
12,,,91-160831-02,,,TX3,882
3,,,SAC-MPP-6BCHUS1-01,,,ZEBRA,2937
3,,,11-93176-02,,,TX3,5500
12,,,11-42722-03R,,,ZEBRA,260
3,,,CBA-R37-C09ZAR,,,ZEBRA,2867
3,,,86.00Q73.52C,,,TX3,100
8,,,GX42-102411-000,,,ZEBRA,16
3,,,USB-TC7X-KIT,,,ZEBRA,19
12,,,LS1203-CR10001R,,,ZEBRA,398
3,,,CBL-MPM-USB1-01,,,ZEBRA,769
3,,,CC6000-10-3210LCWW,,,ZEBRA,48
3,,,ADP-TC51-RGIO1-03,,,ZEBRA,214
3,,,ZD41023-D01000EZ,,,ZEBRA,49
3,,,TC700K-02B24B0-K2,,,ZEBRA,4596
3,,,CRD-TC7X-SE2EPP-01,,,TX3,71
3,,,50-15400-031,,,ZEBRA,1050
8,,,DS2278-SR00007ZZWW,,,ZEBRA,3109
8,,,SG-TC7X-HLSTR1-02,,,ZEBRA,17492
8,,,TC200J-1KC111A6,,,ZEBRA,220
8,,,BTRY-ET5X-8IN1-01,,,ZEBRA,36
8,,,1004857,,,TX3,34
12,,,SAC3600-4001CR,,,ZEBRA,740
8,,,ZE50043-L010000Z,,,ZEBRA,151
3,,,16H.025CS.0006,,,TX3,2472
3,,,P1046265,,,ZEBRA,169
